did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	2.0	I	brute	1	(0.0, 0.2)	(143,)	959
d1	2.0	I	brute	2			
d1	2.0	I	brute	3			
d1	2.0	I	brute	4			
d1	2.0	I	greedy	1	(0.0, 0.2)	{143}	959
d1	2.0	I	greedy	2	(0.0, 0.2)	{53, 143}	1734
d1	2.0	I	greedy	3	(0.0, 0.2)	{72, 53, 143}	2211
d1	2.0	I	greedy	4	(0.0, 0.35)	{143, 1, 53, 183}	2582
d1	2.0	I	h1	1	(0.0, 0.0)	{53}	821
d1	2.0	I	h1	2			
d1	2.0	I	h1	3			
d1	2.0	I	h1	4			
d1	2.0	I	h2	1	(0.0, 0.2)	{143}	959
d1	2.0	I	h2	2	(0.0, 0.2)	{53, 143}	1734
d1	2.0	I	h2	3	(0.0, 0.2)	{72, 53, 143}	2211
d1	2.0	I	h2	4	(0.0, 0.2)	{72, 53, 125, 143}	2358
